Number of Records,Year,Marriage Rate,State,State_name
1,2009,8.4,TN,Tennessee
1,2009,7.1,TX,Texas
1,2009,8.4,UT,Utah
1,2009,6.9,VA,Virginia
1,2009,8.7,VT,Vermont
1,2009,6,WA,Washington
1,2009,5.3,WI,Wisconsin
1,2009,6.7,WV,West Virginia
1,2009,8,WY,Wyoming
1,2010,8,AK,Alaska
1,2010,8.2,AL,Alabama
1,2010,10.8,AR,Arkansas
1,2010,5.9,AZ,Arizona
1,2010,5.8,CA,California 1
1,2010,6.9,CO,Colorado
1,2010,5.6,CT,Connecticut
1,2010,5.2,DC,Delaware
1,2010,7.6,DE,District of Columbia
1,2010,7.3,FL,Florida
1,2010,7.3,GA,Georgia
1,2010,17.6,HI,Hawaii
1,2010,6.9,IA,Iowa
1,2010,8.8,ID,Idaho
1,2010,5.7,IL,Illinois
1,2010,6.3,IN,Indiana
1,2010,6.4,KS,Kansas
1,2010,7.4,KY,Kentucky
1,2010,6.9,LA,Louisiana
1,2010,5.6,MA,Massachusetts
1,2010,5.7,MD,Maryland
1,2010,7.1,ME,Maine
1,2010,5.5,MI,Michigan
1,2010,5.3,MN,Minnesota
1,2010,6.5,MO,Missouri
1,2010,4.9,MS,Mississippi
1,2010,7.4,MT,Montana
1,2010,6.6,NC,North Carolina
1,2010,6.5,ND,North Dakota
1,2010,6.6,NE,Nebraska
1,2010,7.3,NH,New Hampshire
1,2010,5.1,NJ,New Jersey
1,2010,7.7,NM,New Mexico
1,2010,38.3,NV,Nevada
1,2010,6.5,NY,New York
1,2010,5.8,OH,Ohio
1,2010,7.2,OK,Oklahoma
1,2010,6.5,OR,Oregon
1,2010,5.3,PA,Pennsylvania
1,2010,5.8,RI,Rhode Island
1,2010,7.4,SC,South Carolina
1,2010,7.3,SD,South Dakota
1,2010,8.8,TN,Tennessee
1,2010,7.1,TX,Texas
1,2010,8.5,UT,Utah
1,2010,6.8,VA,Virginia
1,2010,9.3,VT,Vermont
1,2010,6,WA,Washington
1,2010,5.3,WI,Wisconsin
1,2010,6.7,WV,West Virginia
1,2010,7.6,WY,Wyoming
1,2011,7.8,AK,Alaska
1,2011,8.4,AL,Alabama
1,2011,10.4,AR,Arkansas
1,2011,5.7,AZ,Arizona
1,2011,5.8,CA,California 1
1,2011,7,CO,Colorado
1,2011,5.5,CT,Connecticut
1,2011,5.2,DC,Delaware
1,2011,8.7,DE,District of Columbia
1,2011,7.4,FL,Florida
1,2011,6.6,GA,Georgia
1,2011,17.6,HI,Hawaii
1,2011,6.7,IA,Iowa
1,2011,8.6,ID,Idaho
1,2011,5.6,IL,Illinois
1,2011,6.8,IN,Indiana
1,2011,6.3,KS,Kansas
1,2011,7.5,KY,Kentucky
1,2011,6.4,LA,Louisiana
1,2011,5.5,MA,Massachusetts
1,2011,5.8,MD,Maryland
1,2011,7.2,ME,Maine
1,2011,5.7,MI,Michigan
1,2011,5.6,MN,Minnesota
1,2011,6.6,MO,Missouri
1,2011,4.9,MS,Mississippi
1,2011,7.8,MT,Montana
1,2011,6.7,NC,North Carolina
1,2011,6.7,ND,North Dakota
1,2011,6.6,NE,Nebraska
1,2011,7.1,NH,New Hampshire
1,2011,4.8,NJ,New Jersey
1,2011,8,NM,New Mexico
1,2011,36.9,NV,Nevada
1,2011,6.9,NY,New York
1,2011,5.9,OH,Ohio
1,2011,6.9,OK,Oklahoma
1,2011,6.6,OR,Oregon
1,2011,5.3,PA,Pennsylvania
1,2011,6,RI,Rhode Island
1,2011,7.2,SC,South Carolina
1,2011,7.5,SD,South Dakota
1,2011,9,TN,Tennessee
1,2011,7.1,TX,Texas
1,2011,8.6,UT,Utah
1,2011,6.8,VA,Virginia
1,2011,8.3,VT,Vermont
1,2011,6.1,WA,Washington
1,2011,5.3,WI,Wisconsin
1,2011,7.2,WV,West Virginia
1,2011,7.8,WY,Wyoming
1,2012,7.2,AK,Alaska
1,2012,8.2,AL,Alabama
1,2012,10.9,AR,Arkansas
1,2012,5.6,AZ,Arizona
1,2012,6,CA,California 1
1,2012,6.8,CO,Colorado
1,2012,5.2,CT,Connecticut
1,2012,5.8,DC,Delaware
1,2012,8.4,DE,District of Columbia
1,2012,7.2,FL,Florida
1,2012,6.5,GA,Georgia
1,2012,17.5,HI,Hawaii
1,2012,6.8,IA,Iowa
1,2012,8.2,ID,Idaho
1,2012,5.8,IL,Illinois
1,2012,6.7,IN,Indiana
1,2012,6.3,KS,Kansas
1,2012,7.2,KY,Kentucky
1,2012,5.7,LA,Louisiana
1,2012,5.5,MA,Massachusetts
1,2012,5.6,MD,Maryland
1,2012,7.3,ME,Maine
1,2012,5.6,MI,Michigan
1,2012,5.6,MN,Minnesota
1,2012,6.5,MO,Missouri
1,2012,5.8,MS,Mississippi
1,2012,7.8,MT,Montana
1,2012,6.6,NC,North Carolina
1,2012,6.6,ND,North Dakota
1,2012,6.7,NE,Nebraska
1,2012,6.8,NH,New Hampshire
1,2012,4.9,NJ,New Jersey
1,2012,6.9,NM,New Mexico
1,2012,35.1,NV,Nevada
1,2012,7,NY,New York
1,2012,5.8,OH,Ohio
1,2012,6.9,OK,Oklahoma
1,2012,6.6,OR,Oregon
